name,symbol
Premier Polyfilm Limited,PREMIERPOL
Vishnu Prakash R Punglia Limited,VPRPL
Khaitan Chemicals & Fertilizers Limited,KHAICHEM
Kamat Hotels (I) Limited,KAMATHOTEL
Nila Spaces Limited,NILASPACES
DMCC SPECIALITY CHEMICALS LIMITED,DMCC
W S Industries (I) Limited,WSI
N. B. I. Industrial Finance Company Limited,NBIFIN
Credo Brands Marketing Limited,MUFTI
Kilitch Drugs (India) Limited,KILITCH
Repro India Limited,REPRO
Anlon Healthcare Limited,AHCL
Best Agrolife Limited,BESTAGRO
Sadhana Nitrochem Limited,SADHNANIQ
Gaudium IVF and Women Health Limited,GAUDIUMIVF
Euro India Fresh Foods Limited,EIFFL
Davangere Sugar Company Limited,DAVANGERE
Likhitha Infrastructure Limited,LIKHITHA
Ganesh Benzoplast Limited,GANESHBE
Bodal Chemicals Limited,BODALCHEM
Transindia Real Estate Limited,TREL
Patel Retail Limited,PATELRMART
Kirloskar Electric Company Limited,KECL
Dhunseri Investments Limited,DHUNINV
CSL Finance Limited,CSLFINANCE
The Ruby Mills Limited,RUBYMILLS
GeeCee Ventures Limited,GEECEE
Chemcon Speciality Chemicals Limited,CHEMCON
NINtec Systems Limited,NINSYS
Nahar Poly Films Limited,NAHARPOLY
Peninsula Land Limited,PENINLAND
Cheviot Company Limited,CHEVIOT
Hindustan Composites Limited,HINDCOMPOS
Arrow Greentech Limited,ARROWGREEN
Everest Industries Limited,EVERESTIND
Onward Technologies Limited,ONWARDTEC
Manba Finance Limited,MANBA
Gloster Limited,GLOSTERLTD
Emkay Global Financial Services Limited,EMKAY
Ritco Logistics Limited,RITCO
20 Microns Limited,20MICRONS
Concord Enviro Systems Limited,CEWATER
Commercial Syn Bags Limited,COMSYN
Take Solutions Limited,TAKE
Iris Clothings Limited,IRISDOREME
MMP Industries Limited,MMP
Modis Navnirman Limited,MODIS
Oswal Agro Mills Limited,OSWALAGRO
Kopran Limited,KOPRAN
Coffee Day Enterprises Limited,COFFEEDAY
Elin Electronics Limited,ELIN
Sejal Glass Limited,SEJALLTD
Shree Vasu Logistics Limited,SVLL
Magadh Sugar & Energy Limited,MAGADSUGAR
Valiant Organics Limited,VALIANTORG
Kamdhenu Limited,KAMDHENU
Mangal Electrical Industries Limited,MEIL
Menon Bearings Limited,MENONBE
Linc Limited,LINC
Indo Farm Equipment Limited,INDOFARM
Snowman Logistics Limited,SNOWMAN
GTPL Hathway Limited,GTPL
Satia Industries Limited,SATIA
Fabtech Technologies Limited,FABTECH
Mindteck (India) Limited,MINDTECK
Denta Water and Infra Solutions Limited,DENTA
Allied Digital Services Limited,ADSL
Allcargo Terminals Limited,ATL
Dhampur Bio Organics Limited,DBOL
Sukhjit Starch & Chemicals Limited,SUKHJITS
Popular Vehicles and Services Limited,PVSL
Mukka Proteins Limited,MUKKA
Bhageria Industries Limited,BHAGERIA
Kothari Petrochemicals Limited,KOTHARIPET
S.A.L. Steel Limited,SALSTEEL
The State Trading Corporation of India Limited,STCINDIA
Dwarikesh Sugar Industries Limited,DWARKESH
TVS Electronics Limited,TVSELECT
Oswal Greentech Limited,OSWALGREEN
Jaiprakash Associates Limited,JPASSOCIAT
Sarla Performance Fibers Limited,SARLAPOLY
Vakrangee Limited,VAKRANGEE
RSWM Limited,RSWM
PVP Ventures Limited,PVP
Ganesh Consumer Products Limited,GANESHCP
Consolidated Construction Consortium Limited,CCCL
Ksolves India Limited,KSOLVES
Mallcom (India) Limited,MALLCOM
Shree Rama Multi-Tech Limited,SHREERAMA
Xchanging Solutions Limited,XCHANGING
Aditya Birla Money Limited,BIRLAMONEY
GHCL Textiles Limited,GHCLTEXTIL
Saurashtra Cement Limited,SAURASHCEM
Nahar Spinning Mills Limited,NAHARSPING
Uniphos Enterprises Limited,UNIENTER
Automotive Stampings and Assemblies Limited,ASAL
The Sandesh Limited,SANDESH
TV Today Network Limited,TVTODAY
Regaal Resources Limited,REGAAL
Avadh Sugar & Energy Limited,AVADHSUGAR
Uttam Sugar Mills Limited,UTTAMSUGAR
Fairchem Organics Limited,FAIRCHEMOR
Consolidated Finvest & Holdings Limited,CONSOFINVT
Bluspring Enterprises Limited,BLUSPRING
Bigbloc Construction Limited,BIGBLOC
Prozone Realty Limited,PROZONER
Anuh Pharma Limited,ANUHPHR
Manoj Vaibhav Gems N Jewellers Limited,MVGJL
Ambika Cotton Mills Limited,AMBIKCO
Indo Amines Limited,INDOAMIN
Radhika Jeweltech Limited,RADHIKAJWE
Kuantum Papers Limited,KUANTUM
BEML Land Assets Limited,BLAL
N R Agarwal Industries Limited,NRAIL
ZUARI INDUSTRIES LIMITED,ZUARIIND
Swelect Energy Systems Limited,SWELECTES
Indo Borax & Chemicals Limited,INDOBORAX
Pudumjee Paper Products Limited,PDMJEPAPER
Sigachi Industries Limited,SIGACHI
Themis Medicare Limited,THEMISMED
VLS Finance Limited,VLSFINANCE
Advance Agrolife Limited,ADVANCE
Sudarshan Colorants India Limited,SUDARCOLOR
Indef Manufacturing Limited,BAJAJINDEF
Max India Limited,MAXIND
Mangalam Worldwide Limited,MWL
Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD
Dharmaj Crop Guard Limited,DHARMAJ
Sterling Tools Limited,STERTOOLS
IFB Agro Industries Limited,IFBAGRO
Supreme Infrastructure India Limited,SUPREMEINF
Dhampur Sugar Mills Limited,DHAMPURSUG
Maan Aluminium Limited,MAANALU
Synergy Green Industries Limited,SGIL
OM INFRA LIMITED,OMINFRAL
Tembo Global Industries Limited,TEMBO
Kokuyo Camlin Limited,KOKUYOCMLN
Munjal Auto Industries Limited,MUNJALAU
Agarwal Industrial Corporation Limited,AGARIND
Scoda Tubes Limited,SCODATUBES
Suyog Telematics Limited,SUYOG
GIC Housing Finance Limited,GICHSGFIN
Heranba Industries Limited,HERANBA
Kapston Services Limited,KAPSTON
Krishival Foods Limited,KRISHIVAL
Bcl Industries Limited,BCLIND
Innovana Thinklabs Limited,INNOVANA
Hardwyn India Limited,HARDWYN
Tamilnadu PetroProducts Limited,TNPETRO
NCL Industries Limited,NCLIND
Dhunseri Ventures Limited,DVL
Prostarm Info Systems Limited,PROSTARM
Amines & Plasticizers Limited,AMNPLST
Matrimony.Com Limited,MATRIMONY
Vascon Engineers Limited,VASCONEQ
SKM Egg Products Export (India) Limited,SKMEGGPROD
Krystal Integrated Services Limited,KRYSTAL
Gretex Corporate Services Limited,GCSL
A B Cotspin India Limited,ABCOTS
Hexa Tradex Limited,HEXATRADEX
Arihant Capital Markets Limited,ARIHANTCAP
Aeroflex Enterprises Limited,AEROENTER
Eldeco Housing And Industries Limited,ELDEHSG
Gujarat Kidney And Super Speciality Limited,GKSL
Venus Remedies Limited,VENUSREM
Sastasundar Ventures Limited,SASTASUNDR
MIC Electronics Limited,MICEL
New Delhi Television Limited,NDTV
Quick Heal Technologies Limited,QUICKHEAL
Electrotherm (India) Limited,ELECTHERM
Kabra Extrusion Technik Limited,KABRAEXTRU
Eimco Elecon (India) Limited,EIMCOELECO
Stel Holdings Limited,STEL
Arisinfra Solutions Limited,ARIS
DPSC Limited,DPSCLTD
United Foodbrands Limited,UFBL
Borosil Scientific Limited,BOROSCI
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY
Indo Rama Synthetics (India) Limited,INDORAMA
Oriental Aromatics Limited,OAL
Wanbury Limited,WANBURY
Stanley Lifestyles Limited,STANLEY
Prime Securities Limited,PRIMESECU
Solex Energy Limited,SOLEX
Zuari Agro Chemicals Limited,ZUARI
Dhanlaxmi Bank Limited,DHANBANK
Tamil Nadu Newsprint & Papers Limited,TNPL
Century Enka Limited,CENTENKA
Bombay Super Hybrid Seeds Limited,BSHSL
Gala Precision Engineering Limited,GALAPREC
Manali Petrochemicals Limited,MANALIPETC
SRM Contractors Limited,SRM
GRP Limited,GRPLTD
JITF Infralogistics Limited,JITFINFRA
NIIT Limited,NIITLTD
Excelsoft Technologies Limited,EXCELSOFT
Crest Ventures Limited,CREST
Jaro Institute of Technology Management and Research Limited,JARO
Tribhovandas Bhimji Zaveri Limited,TBZ
AVT Natural Products Limited,AVTNPL
5Paisa Capital Limited,5PAISA
Diffusion Engineers Limited,DIFFNKG
GKW Limited,GKWLIMITED
IRM Energy Limited,IRMENERGY
Macpower CNC Machines Limited,MACPOWER
Creative Newtech Limited,CNL
Viceroy Hotels Limited,VHLTD
Nelcast Limited,NELCAST
Royal Orchid Hotels Limited,ROHLTD
Gulshan Polyols Limited,GULPOLY
The Andhra Sugars Limited,ANDHRSUGAR
Wealth First Portfolio Managers Limited,WEALTH
STL Networks Limited,STLNETWORK
Tarsons Products Limited,TARSONS
Ratnaveer Precision Engineering Limited,RATNAVEER
Kellton Tech Solutions Limited,KELLTONTEC
Bhartiya International Limited,BIL
Abans Financial Services Limited,AFSL
Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK
STEEL EXCHANGE INDIA LIMITED,STEELXIND
Ester Industries Limited,ESTER
Deccan Cements Limited,DECCANCE
Gem Aromatics Limited,GEMAROMA
GPT Healthcare Limited,GPTHEALTH
Advent Hotels International Limited,ADVENTHTL
Systematix Corporate Services Limited,SYSTMTXC
Suraj Estate Developers Limited,SURAJEST
MIRC Electronics Limited,MIRCELECTR
Borana Weaves Limited,BORANA
Bajaj Healthcare Limited,BAJAJHCARE
Shree Digvijay Cement Co.Ltd,SHREDIGCEM
Confidence Petroleum India Limited,CONFIPET
Updater Services Limited,UDS
Control Print Limited,CONTROLPR
Gandhi Special Tubes Limited,GANDHITUBE
Dam Capital Advisors Limited,DAMCAPITAL
Vardhman Holdings Limited,VHL
Paramount Communications Limited,PARACABLES
Butterfly Gandhimathi Appliances Limited,BUTTERFLY
Laxmi Dental Limited,LAXMIDENTL
Reliance Industrial Infrastructure Limited,RIIL
Oricon Enterprises Limited,ORICONENT
Yuken India Limited,YUKEN
Roto Pumps Limited,ROTO
Mamata Machinery Limited,MAMATA
Beta Drugs Limited,BETA
Madras Fertilizers Limited,MADRASFERT
Master Trust Limited,MASTERTR
Finkurve Financial Services Limited,FINKURVE
IKIO Technologies Limited,IKIO
Sakar Healthcare Limited,SAKAR
Rajoo Engineers Limited,RAJOOENG
Centrum Capital Limited,CENTRUM
Le Merite Exports Limited,LEMERITE
Rupa & Company Limited,RUPA
IG Petrochemicals Limited,IGPL
Jagsonpal Pharmaceuticals Limited,JAGSNPHARM
Faze Three Limited,FAZE3Q
Paushak Limited,PAUSHAKLTD
BirlaNu Limited,BIRLANU
Igarashi Motors India Limited,IGARASHI
Vidya Wires Limited,VIDYAWIRES
IZMO Limited,IZMO
Hariom Pipe Industries Limited,HARIOMPIPE
Monte Carlo Fashions Limited,MONTECARLO
Arihant Superstructures Limited,ARIHANTSUP
Western Carriers (India) Limited,WCIL
Orient Green Power Company Limited,GREENPOWER
Jay Bharat Maruti Limited,JAYBARMARU
A B Infrabuild Limited,ABINFRA
Salzer Electronics Limited,SALZERELEC
B. L. Kashyap and Sons Limited,BLKASHYAP
Rama Steel Tubes Limited,RAMASTEEL
AYM Syntex Limited,AYMSYNTEX
Walchandnagar Industries Limited,WALCHANNAG
Expleo Solutions Limited,EXPLEOSOL
Capital India Finance Limited,CIFL
Dynacons Systems & Solutions Limited,DSSL
Quadrant Future Tek Limited,QUADFUTURE
Capital Small Finance Bank Limited,CAPITALSFB
Dr. Reddy's Laboratories Limited,DRREDDY
Bharat Seats Limited,BHARATSE
Excel Industries Limited,EXCELINDUS
Texmaco Infrastructure & Holdings Limited,TEXINFRA
Syncom Formulations (India) Limited,SYNCOMF
The Hi-Tech Gears Limited,HITECHGEAR
Unicommerce Esolutions Limited,UNIECOM
Platinum Industries Limited,PLATIND
Apex Frozen Foods Limited,APEX
Bharat Wire Ropes Limited,BHARATWIRE
Arfin India Limited,ARFIN
Alicon Castalloy Limited,ALICON
IFGL Refractories Limited,IFGLEXPOR
Vindhya Telelinks Limited,VINDHYATEL
Asian Hotels (North) Limited,ASIANHOTNR
One Point One Solutions Limited,ONEPOINT
Ivalue Infosolutions Limited,IVALUE
Manaksia Coated Metals & Industries Limited,MANAKCOAT
Jindal Poly Investment and Finance Company Limited,JPOLYINVST
Lincoln Pharmaceuticals Limited,LINCOLN
Mahamaya Steel Industries Limited,MAHASTEEL
Himatsingka Seide Limited,HIMATSEIDE
Alldigi Tech Limited,ALLDIGI
Genesys International Corporation Limited,GENESYS
Ind-Swift Laboratories Limited,INDSWFTLAB
Allcargo Logistics Limited,ALLCARGO
Everest Kanto Cylinder Limited,EKC
Kross Limited,KROSS
Renaissance Global Limited,RGL
Raj Rayon Industries Limited,RAJRILTD
Tinna Rubber and Infrastructure Limited,TINNARUBR
TTK Healthcare Limited,TTKHLTCARE
Jindal Drilling And Industries Limited,JINDRILL
Exicom Tele-Systems Limited,EXICOM
Precision Camshafts Limited,PRECAM
Ice Make Refrigeration Limited,ICEMAKE
HMA Agro Industries Limited,HMAAGRO
India Motor Parts and Accessories Limited,IMPAL
GOCL Corporation Limited,GOCLCORP
Jindal Photo Limited,JINDALPHOT
Asian Energy Services Limited,ASIANENE
Balaji Telefilms Limited,BALAJITELE
SPML Infra Limited,SPMLINFRA
Huhtamaki India Limited,HUHTAMAKI
Dolat Algotech Limited,DOLATALGO
Hester Biosciences Limited,HESTERBIO
JNK India Limited,JNKINDIA
BLS E-Services Limited,BLSE
Chaman Lal Setia Exports Limited,CLSEL
Meghmani Organics Limited,MOL
Den Networks Limited,DEN
Unitech Limited,UNITECH
Signpost India Limited,SIGNPOST
Shriram Properties Limited,SHRIRAMPPS
Orient Technologies Limited,ORIENTTECH
ANDHRA PAPER LIMITED,ANDHRAPAP
Gandhar Oil Refinery (India) Limited,GANDHAR
Jagran Prakashan Limited,JAGRAN
Wendt (India) Limited,WENDT
Atul Auto Limited,ATULAUTO
Salasar Techno Engineering Limited,SALASAR
Astec LifeSciences Limited,ASTEC
Suryoday Small Finance Bank Limited,SURYODAY
TIL Limited,TIL
ESAF Small Finance Bank Limited,ESAFSFB
DCW Limited,DCW
Antony Waste Handling Cell Limited,AWHCL
Dynamic Cables Limited,DYCL
GTL Infrastructure Limited,GTLINFRA
Laxmi Goldorna House Limited,LGHL
J.G.Chemicals Limited,JGCHEM
NELCO Limited,NELCO
Navkar Corporation Limited,NAVKARCORP
NGL Fine-Chem Limited,NGLFINE
Southern Petrochemicals Industries Corporation Limited,SPIC
Suraksha Diagnostic Limited,SURAKSHA
PNB Gilts Limited,PNBGILTS
SEPC Limited,SEPC
Sula Vineyards Limited,SULA
Indosolar Limited,WAAREEINDO
Sumeet Industries Limited,SUMEETINDS
Omaxe Limited,OMAXE
Punjab Chemicals & Crop Protection Limited,PUNJABCHEM
NIBE Limited,NIBE
Digitide Solutions Limited,DIGITIDE
Sportking India Limited,SPORTKING
Magellanic Cloud Limited,MCLOUD
Stallion India Fluorochemicals Limited,STALLION
Jyoti Structures Limited,JYOTISTRUC
Shanti Gold International Limited,SHANTIGOLD
D-Link (India) Limited,DLINKINDIA
Godavari Biorefineries Limited,GODAVARIB
BF Investment Limited,BFINVEST
All Time Plastics Limited,ALLTIME
Easy Trip Planners Limited,EASEMYTRIP
SBC Exports Limited,SBC
Associated Alcohols & Breweries Ltd.,ASALCBR
R&B Denims Limited,RNBDENIMS
Sanghi Industries Limited,SANGHIIND
One Mobikwik Systems Limited,MOBIKWIK
Motisons Jewellers Limited,MOTISONS
Vidhi Specialty Food Ingredients Limited,VIDHIING
Pashupati Cotspin Limited,PASHUPATI
Sanstar Limited,SANSTAR
GPT Infraprojects Limited,GPTINFRA
Apollo Pipes Limited,APOLLOPIPE
Talbros Automotive Components Limited,TALBROAUTO
Windlas Biotech Limited,WINDLAS
Simplex Infrastructures Limited,SIMPLEXINF
SMC Global Securities Limited,SMCGLOBAL
Fino Payments Bank Limited,FINOPB
EMS Limited,EMSLIMITED
Rishabh Instruments Limited,RISHABH
Krishna Defence And Allied Industries Limited,KRISHNADEF
Stove Kraft Limited,STOVEKRAFT
Dolphin Offshore Enterprises (India) Limited,DOLPHIN
Redtape Limited,REDTAPE
Delta Corp Limited,DELTACORP
Arman Financial Services Limited,ARMANFIN
Asian Granito India Limited,ASIANTILES
Garuda Construction and Engineering Limited,GARUDA
Shalby Limited,SHALBY
Go Fashion (India) Limited,GOCOLORS
RACL Geartech Limited,RACLGEAR
Dollar Industries Limited,DOLLAR
Sai Silks (Kalamandir) Limited,KALAMANDIR
Ramco Systems Limited,RAMCOSYS
Som Distilleries & Breweries Limited,SDBL
Indo Tech Transformers Limited,INDOTECH
Solarworld Energy Solutions Limited,SOLARWORLD
Somany Ceramics Limited,SOMANYCERA
Algoquant Fintech Limited,ALGOQUANT
M & B Engineering Limited,MBEL
Ugro Capital Limited,UGROCAP
Panama Petrochem Limited,PANAMAPET
Servotech Renewable Power System Limited,SERVOTECH
Satin Creditcare Network Limited,SATIN
Landmark Cars Limited,LANDMARK
Seshasayee Paper and Boards Limited,SESHAPAPER
Nitco Limited,NITCO
Rane Holdings Limited,RANEHOLDIN
Amrutanjan Health Care Limited,AMRUTANJAN
Hindustan Oil Exploration Company Limited,HINDOILEXP
Indian Hume Pipe Company Limited,INDIANHUME
Hinduja Global Solutions Limited,HGS
Veranda Learning Solutions Limited,VERANDA
Sasken Technologies Limited,SASKEN
R M Drip and Sprinklers Systems Limited,RMDRIP
Geojit Financial Services Limited,GEOJITFSL
Vikran Engineering Limited,VIKRAN
S. P. Apparels Limited,SPAL
Hi-Tech Pipes Limited,HITECH
Ideaforge Technology Limited,IDEAFORGE
Accelya Solutions India Limited,ACCELYA
Ndr Auto Components Limited,NDRAUTO
Rico Auto Industries Limited,RICOAUTO
Silver Touch Technologies Limited,SILVERTUC
GNA Axles Limited,GNA
MSP Steel & Power Limited,MSPL
India Pesticides Limited,IPL
Insecticides (India) Limited,INSECTICID
EPack Prefab Technologies Limited,EPACKPEB
Kernex Microsystems (India) Limited,KERNEX
Thejo Engineering Limited,THEJO
Saksoft Limited,SAKSOFT
Antelopus Selan Energy Limited,ANTELOPUS
Oriental Hotels Limited,ORIENTHOT
Summit Securities Limited,SUMMITSEC
Ador Welding Limited,ADOR
COSMO FIRST LIMITED,COSMOFIRST
Yasho Industries Limited,YASHO
Jaykay Enterprises Limited,JAYKAY
Yatra Online Limited,YATRA
Tasty Bite Eatables Limited,TASTYBITE
Advait Energy Transitions Limited,ADVAIT
Indoco Remedies Limited,INDOCO
Bajel Projects Limited,BAJEL
Hathway Cable & Datacom Limited,HATHWAY
India Nippon Electricals Limited,INDNIPPON
Mahanagar Telephone Nigam Limited,MTNL
Wonder Electricals Limited,WEL
Mukand Limited,MUKANDLTD
Hindware Home Innovation Limited,HINDWAREAP
Apcotex Industries Limited,APCOTEXIND
Venky's (India) Limited,VENKEYS
BF Utilities Limited,BFUTILITIE
Mold-Tek Packaging Limited,MOLDTKPAC
K.P. Energy Limited,KPEL
Filatex India Limited,FILATEX
Aurum PropTech Limited,AURUM
Jai Corp Limited,JAICORPLTD
Mufin Green Finance Limited,MUFIN
DCX Systems Limited,DCXINDIA
Pix Transmissions Limited,PIXTRANS
PTC India Financial Services Limited,PFS
InfoBeans Technologies Limited,INFOBEAN
EIH Associated Hotels Limited,EIHAHOTELS
Panacea Biotec Limited,PANACEABIO
Vimta Labs Limited,VIMTALABS
Pennar Industries Limited,PENIND
Bhansali Engineering Polymers Limited,BEPL
Spandana Sphoorty Financial Limited,SPANDANA
Solara Active Pharma Sciences Limited,SOLARA
KCP Limited,KCP
Teamlease Services Limited,TEAMLEASE
S H Kelkar and Company Limited,SHK
Studds Accessories Limited,STUDDS
Nilkamal Limited,NILKAMAL
DEE Development Engineers Limited,DEEDEV
Krsnaa Diagnostics Limited,KRSNAA
Capacit'e Infraprojects Limited,CAPACITE
Uniparts India Limited,UNIPARTS
Bajaj Hindusthan Sugar Limited,BAJAJHIND
Ganesha Ecosphere Limited,GANECOS
Rhetan TMT Limited,RHETAN
Nucleus Software Exports Limited,NUCLEUS
Arkade Developers Limited,ARKADE
Awfis Space Solutions Limited,AWFIS
TCI Express Limited,TCIEXP
Rajratan Global Wire Limited,RAJRATAN
Angel One Limited,ANGELONE
Xpro India Limited,XPROINDIA
Vintage Coffee And Beverages Limited,VINCOFE
Nitin Spinners Limited,NITINSPIN
Shipping Corporation of India Land and Assets Limited,SCILAL
ADF Foods Limited,ADFFOODS
IOL Chemicals and Pharmaceuticals Limited,IOLCP
Honda India Power Products Limited,HONDAPOWER
SG Finserve Limited,SGFIN
Brightcom Group Limited,BCG
HPL Electric & Power Limited,HPL
Kalyani Investment Company Limited,KICL
Gujarat Industries Power Company Limited,GIPCL
Wheels India Limited,WHEELS
Deep Industries Limited,DEEPINDS
Monarch Networth Capital Limited,MONARCH
Windsor Machines Limited,WINDMACHIN
MM Forgings Limited,MMFL
Cantabil Retail India Limited,CANTABIL
Taj GVK Hotels & Resorts Limited,TAJGVK
Divgi Torqtransfer Systems Limited,DIVGIITTS
Bliss GVS Pharma Limited,BLISSGVS
RPSG VENTURES LIMITED,RPSGVENT
Shringar House of Mangalsutra Limited,SHRINGARMS
Baazar Style Retail Limited,STYLEBAAZA
Federal-Mogul Goetze (India) Limited.,FMGOETZE
Sanghvi Movers Limited,SANGHVIMOV
Venus Pipes & Tubes Limited,VENUSPIPES
GK Energy Limited,GKENERGY
HLE Glascoat Limited,HLEGLAS
GM Breweries Limited,GMBREW
Spectrum Electrical Industries Limited,SPECTRUM
Wipro Limited,WIPRO
La Opala RG Limited,LAOPALA
Thirumalai Chemicals Limited,TIRUMALCHM
Brigade Hotel Ventures Limited,BRIGHOTEL
Sangam (India) Limited,SANGAMIND
Mayur Uniquoters Ltd,MAYURUNIQ
BGR Energy Systems Limited,BGRENERGY
Rane (Madras) Limited,RML
Indiabulls Limited,IBULLSLTD
Bombay Dyeing & Mfg Company Limited,BOMDYEING
Prakash Industries Limited,PRAKASH
Alembic Limited,ALEMBICLTD
Steelcast Limited,STEELCAS
Veedol Corporation Limited,VEEDOL
Websol Energy System Limited,WEBELSOLAR
Repco Home Finance Limited,REPCOHOME
EPACK Durable Limited,EPACK
Ujaas Energy Limited,UEL
Prabha Energy Limited,PRABHA
Morepen Laboratories Limited,MOREPENLAB
Protean eGov Technologies Limited,PROTEAN
Eveready Industries India Limited,EVEREADY
Universal Cables Limited,UNIVCABLES
Siyaram Silk Mills Limited,SIYSIL
NOCIL Limited,NOCIL
TCPL Packaging Limited,TCPLPACK
Hikal Limited,HIKAL
Imagicaaworld Entertainment Limited,IMAGICAA
Network People Services Technologies Limited,NPST
Rashi Peripherals Limited,RPTECH
Sundrop Brands Limited,SUNDROP
Hind Rectifiers Limited,HIRECT
Dalmia Bharat Sugar and Industries Limited,DALMIASUG
Standard Engineering Technology Limited,SETL
Unichem Laboratories Limited,UNICHEMLAB
Utkarsh Small Finance Bank Limited,UTKARSHBNK
The Orissa Minerals Development Company Limited,ORISSAMINE
Jindal Worldwide Limited,JINDWORLD
Vardhman Special Steels Limited,VSSL
Cyient DLM Limited,CYIENTDLM
Fischer Medical Ventures Limited,FISCHER
JTL INDUSTRIES LIMITED,JTLIND
Mangalam Cement Limited,MANGLMCEM
Arvind SmartSpaces Limited,ARVSMART
Jash Engineering Limited,JASH
Bharat Rasayan Limited,BHARATRAS
Sagar Cements Limited,SAGCEM
Ramco Industries Limited,RAMCOIND
KSH International Limited,KSHINTL
Ajmera Realty & Infra India Limited,AJMERA
Greenpanel Industries Limited,GREENPANEL
Parag Milk Foods Limited,PARAGMILK
CARYSIL LIMITED,CARYSIL
MPS Limited,MPSLTD
Jain Irrigation Systems Limited,JISLDVREQS
Jain Irrigation Systems Limited,JISLJALEQS
Euro Pratik Sales Limited,EUROPRATIK
Shivalik Bimetal Controls Limited,SBCL
Prataap Snacks Limited,DIAMONDYD
Globus Spirits Limited,GLOBUSSPR
Sirca Paints India Limited,SIRCA
Savita Oil Technologies Limited,SOTL
Ravindra Energy Limited,RELTD
Patel Engineering Limited,PATELENG
Bhagiradha Chemicals & Industries Limited,BHAGCHEM
NRB Bearing Limited,NRBBEARING
Raymond Limited,RAYMOND
Polyplex Corporation Limited,POLYPLEX
Dredging Corporation of India Limited,DREDGECORP
Marine Electricals (India) Limited,MARINE
Apeejay Surrendra Park Hotels Limited,PARKHOTELS
Jindal Poly Films Limited,JINDALPOLY
Lux Industries Limited,LUXIND
Kiri Industries Limited,KIRIINDUS
Rossell Techsys Limited,ROSSTECH
Dishman Carbogen Amcis Limited,DCAL
D. P. Abhushan Limited,DPABHUSHAN
Rossari Biotech Limited,ROSSARI
Fineotex Chemical Limited,FCL
Greenply Industries Limited,GREENPLY
Medi Assist Healthcare Services Limited,MEDIASSIST
Bharat Bijlee Limited,BBL
Enviro Infra Engineers Limited,EIEL
63 moons technologies limited,63MOONS
Jubilant Agri and Consumer Products Limited,JUBLCPL
West Coast Paper Mills Limited,WSTCSTPAPR
Prince Pipes And Fittings Limited,PRINCEPIPE
Gufic Biosciences Limited,GUFICBIO
Raymond Realty Limited,RAYMONDREL
Ddev Plastiks Industries Limited,DDEVPLSTIK
Borosil Limited,BOROLTD
Pokarna Limited,POKARNA
SIGMA ADVANCED SYSTEMS LIMITED,SIGMAADV
Muthoot Microfin Limited,MUTHOOTMF
Camlin Fine Sciences Limited,CAMLINFINE
Share India Securities Limited,SHAREINDIA
PSP Projects Limited,PSPPROJECT
Tatva Chintan Pharma Chem Limited,TATVA
Premier Explosives Limited,PREMEXPLN
Aye Finance Limited,AYE
Marathon Nextgen Realty Limited,MARATHON
Quess Corp Limited,QUESS
Maithan Alloys Limited,MAITHANALL
Gateway Distriparks Limited,GATEWAY
Heritage Foods Limited,HERITGFOOD
Sambhv Steel Tubes Limited,SAMBHV
Carraro India Limited,CARRARO
Kirloskar Industries Limited,KIRLOSIND
KDDL Limited,KDDL
Krishana Phoschem Limited,KRISHANA
Ram Ratna Wires Limited,RAMRAT
TVS Srichakra Limited,TVSSRICHAK
Refex Industries Limited,REFEX
Wonderla Holidays Limited,WONDERLA
Fusion Finance Limited,FUSION
Aqylon Nexus Limited,AQYLON
Hubtown Limited,HUBTOWN
Nalwa Sons Investments Limited,NSIL
Sandhar Technologies Limited,SANDHAR
EFC (I) Limited,EFCIL
Zaggle Prepaid Ocean Services Limited,ZAGGLE
Automotive Axles Limited,AUTOAXLES
Aeroflex Industries Limited,AEROFLEX
RPG Life Sciences Limited,RPGLIFE
Balmer Lawrie & Company Limited,BALMLAWRIE
NACL Industries Limited,NACLIND
Kewal Kiran Clothing Limited,KKCL
Sundaram Clayton Limited,SUNCLAY
Orchid Pharma Limited,ORCHPHARMA
Kolte - Patil Developers Limited,KOLTEPATIL
The Anup Engineering Limited,ANUP
Interarch Building Solutions Limited,INTERARCH
Anand Rathi Share and Stock Brokers Limited,ARSSBL
Orient Cement Limited,ORIENTCEM
GE Power India Limited,GVPIL
ROUTE MOBILE LIMITED,ROUTE
Flair Writing Industries Limited,FLAIR
Ramky Infrastructure Limited,RAMKY
Mstc Limited,MSTCLTD
Paisalo Digital Limited,PAISALO
Cigniti Technologies Limited,CIGNITITEC
Ellenbarrie Industrial Gases Limited,ELLEN
Raghav Productivity Enhancers Limited,RPEL
Ashiana Housing Limited,ASHIANA
Kalyani Steels Limited,KSL
Navneet Education Limited,NAVNETEDUL
Tourism Finance Corporation of India Limited,TFCILTD
Gujarat Themis Biosyn Limited,GUJTHEM
Tata Investment Corporation Limited,TATAINVEST
Harsha Engineers International Limited,HARSHA
Seamec Limited,SEAMECLTD
Indo Thai Securities Limited,INDOTHAI
Shoppers Stop Limited,SHOPERSTOP
Pitti Engineering Limited,PITTIENG
Suven Life Sciences Limited,SUVEN
