name,symbol,sector,ref_ltp,w52_high,w52_low,market_cap_cr,ref_volume,ref_avg_vol_20d
CHOLAFIN,NSE:CHOLAFIN,Financial Services,1730.5,1831.5,1358.65,147412.53867,1844360.0,1724826.33333333
CIPLA,NSE:CIPLA,Healthcare,1346.0,1673.0,1281.7,108972.2342886,2609711.0,1614166.61904761
CUB,NSE:CUB,Financial Services,282.1,324.1,142.91,21060.2066295,1956492.0,1811868.85714285
CLEAN,NSE:CLEAN,Chemicals,735.0,1600.0,707.0,7812.7657425,470362.0,390334.619047619
COALINDIA,NSE:COALINDIA,Oil Gas & Consumable Fuels,430.5,461.55,352.4,265362.1162609,8147373.0,7512689.9047619
COCHINSHIP,NSE:COCHINSHIP,Capital Goods,1502.0,2545.0,1199.6,39264.6291811,500459.0,879093.142857142
COFORGE,NSE:COFORGE,Information Technology,1186.0,1994.0,1182.1,7338.8665341,3210664.0,3970200.14285714
COHANCE,NSE:COHANCE,Healthcare,311.8,1121.15,303.05,11928.4448289,1213458.0,1580249.19047619
COLPAL,NSE:COLPAL,Fast Moving Consumer Goods,2253.9,2747.4,2029.4,61270.338591,577821.0,375783.761904761
CAMS,NSE:CAMS,Financial Services,674.0,875.0,606.21,16788.54786,2005279.0,821263.904761904
CONCORDBIO,NSE:CONCORDBIO,Healthcare,1217.8,2150.4,1068.6,12740.1491688,535659.0,1092636.38095238
CONCOR,NSE:CONCOR,Services,495.0,652.04,472.75,37700.0811,1765303.0,1153267.9047619
COROMANDEL,NSE:COROMANDEL,Chemicals,2219.0,2718.9,1596.0,65397.99077,876844.0,253641.714285714
CRAFTSMAN,NSE:CRAFTSMAN,Automobile and Auto Components,7509.0,8220.0,3700.0,17955.226472,44754.0,44627.8571428571
CREDITACC,NSE:CREDITACC,Financial Services,1266.8,1496.7,879.3,20286.1432739,865829.0,343762.952380952
CROMPTON,NSE:CROMPTON,Consumer Durables,256.12,367.5,217.4,16564.4588153,2045333.0,3678109.57142857
CUMMINSIND,NSE:CUMMINSIND,Capital Goods,4909.0,4987.0,2580.0,135780.9,944558.0,685687.571428571
CYIENT,NSE:CYIENT,Information Technology,912.0,1376.0,908.1,10084.8270551,490683.0,258700.285714285
DCMSHRIRAM,NSE:DCMSHRIRAM,Diversified,1035.0,1502.3,902.6,16026.61275,27729.0,28085.4285714285
DLF,NSE:DLF,Realty,602.05,886.8,586.65,149527.1310424,4023729.0,2800802.76190476
DOMS,NSE:DOMS,Fast Moving Consumer Goods,2333.7,3064.6,2250.0,14125.6863,18380.0,40953.5238095238
DABUR,NSE:DABUR,Fast Moving Consumer Goods,519.0,577.0,433.3,91746.7382102,2414657.0,1612463.71428571
DALBHARAT,NSE:DALBHARAT,Construction Materials,1988.2,2496.3,1601.0,37208.7234205,775987.0,206963.047619047
DATAPATTNS,NSE:DATAPATTNS,Capital Goods,3197.9,3309.9,1351.15,18019.7201311,967561.0,956599.857142857
DEEPAKFERT,NSE:DEEPAKFERT,Chemicals,995.0,1778.6,888.9,12573.2770457,218338.0,352014.38095238
DEEPAKNTR,NSE:DEEPAKNTR,Chemicals,1578.0,2174.0,1514.0,21522.8154,112234.0,103687.571428571
DELHIVERY,NSE:DELHIVERY,Services,433.6,490.0,236.53,32455.9620728,1104679.0,2789791.57142857
DEVYANI,NSE:DEVYANI,Consumer Services,127.04,191.0,109.62,15332.6029236,1036880.0,6958907.33333333
DIVISLAB,NSE:DIVISLAB,Healthcare,6395.5,7071.5,4955.0,170125.5,466870.0,392451.047619047
DIXON,NSE:DIXON,Consumer Durables,10520.0,18471.0,9835.0,63668.7141339,1359438.0,748728.857142857
AGARWALEYE,NSE:AGARWALEYE,Healthcare,448.65,568.0,327.0,14213.5682941,337081.0,100984.714285714
LALPATHLAB,NSE:LALPATHLAB,Healthcare,1400.0,1770.0,1146.78,23376.276,591288.0,224092.38095238
DRREDDY,NSE:DRREDDY,Healthcare,1290.0,1379.7,1020.0,1192.1521956,3510396.0,1415832.61904761
EIDPARRY,NSE:EIDPARRY,Fast Moving Consumer Goods,865.05,1246.8,639.0,15476.2254333,412671.0,221320.428571428
EIHOTEL,NSE:EIHOTEL,Consumer Services,314.6,434.8,304.5,19673.9581136,623651.0,2042885.0
EICHERMOT,NSE:EICHERMOT,Automobile and Auto Components,8014.0,8230.0,4755.0,219595.5575267,774354.0,562520.761904761
ELECON,NSE:ELECON,Capital Goods,417.0,716.25,361.5,9354.139246,178733.0,456498.619047619
ELGIEQUIP,NSE:ELGIEQUIP,Capital Goods,535.5,608.4,401.0,16886.95,332072.0,935257.857142857
EMAMILTD,NSE:EMAMILTD,Fast Moving Consumer Goods,464.9,653.35,460.75,20144.0728087,707375.0,734804.904761904
EMCURE,NSE:EMCURE,Healthcare,1436.5,1585.6,889.0,27273.328784,960331.0,169516.809523809
ENDURANCE,NSE:ENDURANCE,Automobile and Auto Components,2669.3,3079.9,1675.0,37440.23,86925.0,103260.333333333
ENGINERSIN,NSE:ENGINERSIN,Construction,220.3,255.45,142.2,12447.3986548,4715134.0,22404621.6190476
ERIS,NSE:ERIS,Healthcare,1368.0,1910.0,1097.2,18949.97376,32897.0,69682.238095238
ESCORTS,NSE:ESCORTS,Capital Goods,3518.9,4180.0,2776.4,38716.6961755,54853.0,153212.285714285
ETERNAL,NSE:ETERNAL,Consumer Services,247.5,368.45,209.86,223669.8104453,57272916.0,47423423.2857142
EXIDEIND,NSE:EXIDEIND,Automobile and Auto Components,334.4,431.0,308.45,28474.40647,925477.0,1848033.0
NYKAA,NSE:NYKAA,Consumer Services,264.9,285.6,154.9,75842.3781825,5771186.0,8782257.95238095
FEDERALBNK,NSE:FEDERALBNK,Financial Services,298.5,302.0,172.66,73710.2559097,6871717.0,6618336.14285714
FACT,NSE:FACT,Chemicals,742.5,1112.0,565.0,48045.096,122873.0,94807.5714285714
FINCABLES,NSE:FINCABLES,Capital Goods,912.0,1028.0,700.8,13982.5451443,4594730.0,530951.619047619
FINPIPE,NSE:FINPIPE,Capital Goods,185.1,238.0,153.92,11444.9925173,228056.0,870716.095238095
FSL,NSE:FSL,Services,213.15,403.8,212.1,14740.42,1818934.0,1696431.71428571
FIVESTAR,NSE:FIVESTAR,Financial Services,416.9,850.0,416.0,12280.4605292,1013333.0,1682145.0
FORCEMOT,NSE:FORCEMOT,Automobile and Auto Components,24350.0,26450.0,6472.05,32082.6851696,79173.0,131289.0
FORTIS,NSE:FORTIS,Healthcare,939.8,1104.3,595.6,71081.9895759,3208469.0,1605828.8095238
GAIL,NSE:GAIL,Oil Gas & Consumable Fuels,168.85,202.79,150.52,111593.75185,17164115.0,13747319.3333333
GVT&D,NSE:GVT&D,Capital Goods,3850.0,3912.0,1254.0,98583.04,544116.0,686161.0
GMRAIRPORT,NSE:GMRAIRPORT,Services,99.7,110.36,67.75,106157.2676593,19213349.0,14515260.3809523
GRSE,NSE:GRSE,Capital Goods,2434.3,3538.4,1184.9,27872.7847834,280499.0,958402.619047619
GICRE,NSE:GICRE,Financial Services,382.05,453.8,351.0,67026.8498583,319784.0,491718.238095238
GILLETTE,NSE:GILLETTE,Fast Moving Consumer Goods,8318.0,11500.0,7563.35,27076.9149,15613.0,26810.4285714285
GLAND,NSE:GLAND,Healthcare,1822.0,2131.0,1277.8,30018.61608,118033.0,119548.857142857
GLAXO,NSE:GLAXO,Healthcare,2570.0,3515.7,2220.3,43537.342,46525.0,77054.238095238
GLENMARK,NSE:GLENMARK,Healthcare,2144.0,2284.8,1275.5,60334.7640768,616213.0,495695.809523809
MEDANTA,NSE:MEDANTA,Healthcare,1145.3,1456.5,1010.0,30739.32265,152914.0,154797.904761904
GODIGIT,NSE:GODIGIT,Financial Services,338.0,381.4,264.6,31039.08,291471.0,455749.666666666
GPIL,NSE:GPIL,Capital Goods,265.5,290.0,145.75,17809.8714618,1881034.0,1878284.14285714
GODFRYPHLP,NSE:GODFRYPHLP,Fast Moving Consumer Goods,2129.9,3947.0,1650.8,10970.3574535,1292546.0,2205191.85714285
GODREJAGRO,NSE:GODREJAGRO,Fast Moving Consumer Goods,640.0,876.35,506.1,12348.5770694,237769.0,620042.19047619
GODREJCP,NSE:GODREJCP,Fast Moving Consumer Goods,1214.9,1309.0,979.5,124313.9160581,1443913.0,1066710.33333333
GODREJIND,NSE:GODREJIND,Diversified,1003.15,1390.0,938.8,33291.8751787,106474.0,114635.0
GODREJPROP,NSE:GODREJPROP,Realty,1727.0,2506.5,1475.0,52055.6478331,1247988.0,1594431.61904761
GRANULES,NSE:GRANULES,Healthcare,580.8,627.0,422.0,14105.8972,485503.0,704570.142857142
GRAPHITE,NSE:GRAPHITE,Capital Goods,717.0,747.0,365.75,14017.1458351,2869400.0,1803838.33333333
GRASIM,NSE:GRASIM,Construction Materials,2794.0,2979.0,2301.65,189951.3,1153378.0,656066.19047619
GRAVITA,NSE:GRAVITA,Metals & Mining,1610.0,2170.0,1379.65,11726.06953,63652.0,142615.38095238
GESHIP,NSE:GESHIP,Services,1337.6,1375.0,797.5,19115.1,150847.0,565049.285714285
FLUOROCHEM,NSE:FLUOROCHEM,Chemicals,3472.0,4083.55,2916.6,38327.2469683,39905.0,75497.0476190476
GUJGASLTD,NSE:GUJGASLTD,Oil Gas & Consumable Fuels,407.0,508.7,360.25,28045.01,259865.0,327554.952380952
GMDCLTD,NSE:GMDCLTD,Metals & Mining,567.0,651.0,226.59,18123.5009742,3087978.0,3865399.33333333
GSPL,NSE:GSPL,Oil Gas & Consumable Fuels,306.0,360.6,261.45,17155.234635,829479.0,294838.904761904
HEG,NSE:HEG,Capital Goods,577.8,672.0,335.75,11150.2339364,2238629.0,2397616.85714285
HBLENGINE,NSE:HBLENGINE,Capital Goods,684.0,1122.0,405.0,19006.9824805,1005342.0,1435236.85714285
HCLTECH,NSE:HCLTECH,Information Technology,1382.0,1780.1,1302.75,376374.2545605,8651443.0,3997971.76190476
HDFCAMC,NSE:HDFCAMC,Financial Services,2690.0,2967.25,1783.43,57860.6228285,1193019.0,1014634.8095238
HDFCBANK,NSE:HDFCBANK,Financial Services,887.45,1020.5,835.03,15146.3250114,34620755.0,28538983.8571428
HDFCLIFE,NSE:HDFCLIFE,Financial Services,716.75,820.75,600.35,153688.3571229,3416009.0,2882186.85714285
HFCL,NSE:HFCL,Telecommunication,68.3,93.96,59.82,9910.132568,7677734.0,17597291.5238095
HAPPSTMNDS,NSE:HAPPSTMNDS,Information Technology,360.0,724.1,358.0,5408.3196,442439.0,616635.952380952
HAVELLS,NSE:HAVELLS,Consumer Durables,1392.7,1673.8,1250.1,87634.06,1498208.0,620610.095238095
HEROMOTOCO,NSE:HEROMOTOCO,Automobile and Auto Components,5715.0,6388.5,3344.0,114251.3,584546.0,496210.809523809
HEXT,NSE:HEXT,Information Technology,472.0,900.0,458.75,28846.4946099,723405.0,2248460.19047619
HSCL,NSE:HSCL,Chemicals,483.95,534.45,365.35,24416.1927813,548410.0,1425216.42857142
HINDALCO,NSE:HINDALCO,Metals & Mining,925.4,1029.8,546.45,206907.8779586,5418634.0,6007626.23809523
HAL,NSE:HAL,Capital Goods,3910.8,5165.0,3046.05,261724.4832,2191138.0,2112923.95238095
HINDCOPPER,NSE:HINDCOPPER,Metals & Mining,570.0,760.05,183.82,54856.5610966,10159245.0,25806950.2857142
HINDPETRO,NSE:HINDPETRO,Oil Gas & Consumable Fuels,438.5,508.45,287.55,93409.9199384,5341791.0,4609838.38095238
HINDUNILVR,NSE:HINDUNILVR,Fast Moving Consumer Goods,2340.0,2715.44,2109.16,549147.599325,3053227.0,1678900.66666666
HINDZINC,NSE:HINDZINC,Metals & Mining,604.4,733.0,378.15,255117.9796304,4662433.0,11686232.7619047
POWERINDIA,NSE:POWERINDIA,Capital Goods,25508.0,25799.0,10400.0,113695.201396,126705.0,178928.666666666
HOMEFIRST,NSE:HOMEFIRST,Financial Services,1087.0,1519.0,878.4,11290.89,933839.0,555077.380952381
HONASA,NSE:HONASA,Fast Moving Consumer Goods,304.9,334.2,203.5,9920.5250034,452651.0,1755862.52380952
HONAUT,NSE:HONAUT,Capital Goods,30940.0,41450.0,30590.0,27355.669068,3515.0,3641.0
HUDCO,NSE:HUDCO,Financial Services,185.9,253.73,158.85,37375.1788425,3769121.0,5726446.57142857
HYUNDAI,NSE:HYUNDAI,Automobile and Auto Components,2173.2,2890.0,1541.7,176581.4496165,585338.0,501021.19047619
ICICIBANK,NSE:ICICIBANK,Financial Services,1379.4,1500.0,1200.1,10978.6666153,15096898.0,13871407.3809523
ICICIGI,NSE:ICICIGI,Financial Services,1892.8,2068.7,1613.7,94399.5811392,852656.0,572039.666666666
ICICIPRULI,NSE:ICICIPRULI,Financial Services,659.45,706.8,525.8,94786.4126488,2231900.0,1126438.47619047
IDBI,NSE:IDBI,Financial Services,116.18,118.38,66.5,124824.6076623,39393232.0,24302861.8571428
IDFCFIRSTB,NSE:IDFCFIRSTB,Financial Services,73.28,87.0,52.46,53797.5982217,73495422.0,76731275.2380952
IFCI,NSE:IFCI,Financial Services,59.63,74.5,36.2,15685.2737592,12081287.0,33478088.7142857
IIFL,NSE:IIFL,Financial Services,494.2,675.0,279.8,21072.819509,859998.0,1643294.52380952
INOXINDIA,NSE:INOXINDIA,Capital Goods,1160.0,1288.0,892.25,10555.8,78052.0,51338.3809523809
IRB,NSE:IRB,Construction,41.51,54.28,38.57,25155.0459102,5826331.0,7499417.85714285
IRCON,NSE:IRCON,Construction,143.56,225.52,134.24,13502.0388527,1554338.0,2140112.71428571
ITCHOTELS,NSE:ITCHOTELS,Consumer Services,176.95,261.62,159.05,36856.6140493,1753613.0,2702766.71428571
ITC,NSE:ITC,Fast Moving Consumer Goods,314.2,444.2,302.0,392455.3548382,13892595.0,22231331.8095238
ITI,NSE:ITI,Telecommunication,269.0,372.85,234.04,25900.71611,114609.0,326877.571428571
INDGN,NSE:INDGN,Healthcare,495.0,632.9,455.6,11895.7014,268714.0,459117.333333333
INDIACEM,NSE:INDIACEM,Construction Materials,404.9,485.8,238.85,12598.0742591,531660.0,346181.428571428
INDIAMART,NSE:INDIAMART,Consumer Services,2138.0,2799.0,1900.1,12805.0259145,50100.0,99303.5238095238
INDIANB,NSE:INDIANB,Financial Services,987.0,1000.0,478.0,133416.8,2343944.0,1944815.33333333
IEX,NSE:IEX,Financial Services,125.16,215.4,119.0,11130.484132,5072021.0,7222050.76190476
INDHOTEL,NSE:INDHOTEL,Consumer Services,668.05,858.0,627.2,95026.2541916,4968047.0,2043326.23809523
IOC,NSE:IOC,Oil Gas & Consumable Fuels,186.98,188.96,110.72,264879.87011,24422609.0,17794756.0
IOB,NSE:IOB,Financial Services,36.38,46.84,33.5,70223.8857535,5933154.0,6910435.61904761
IRCTC,NSE:IRCTC,Consumer Services,568.0,820.25,558.1,45688.0094625,32213440.0,3556683.23809523
IRFC,NSE:IRFC,Financial Services,103.34,148.95,101.73,135372.6793396,19027229.0,15853942.095238
IREDA,NSE:IREDA,Financial Services,122.25,186.58,121.65,32873.3113402,6156137.0,7320562.66666666
IGL,NSE:IGL,Oil Gas & Consumable Fuels,170.48,229.0,163.0,23948.7619209,1149810.0,2525674.33333333
INDUSTOWER,NSE:INDUSTOWER,Telecommunication,453.7,481.5,312.55,119812.4682886,7170798.0,6643501.19047619
INDUSINDBK,NSE:INDUSINDBK,Financial Services,957.0,1063.3,606.0,74540.98,3745120.0,4027931.19047619
NAUKRI,NSE:NAUKRI,Consumer Services,1024.0,1550.0,1006.1,66835.3592628,2485232.0,2240642.19047619
INFY,NSE:INFY,Information Technology,1298.9,1775.85,1264.1,5638.5353681,23141724.0,16872752.2857142
INOXWIND,NSE:INOXWIND,Capital Goods,92.2,198.14,91.65,11993.2581935,8958892.0,11214228.7142857
INTELLECT,NSE:INTELLECT,Information Technology,696.7,1255.0,577.4,9735.888,341970.0,622414.047619047
INDIGO,NSE:INDIGO,Services,4830.3,6232.5,4267.55,186383.0459537,1199332.0,873309.523809523
IGIL,NSE:IGIL,Services,331.0,442.0,282.0,14261.27,1366123.0,963438.857142857
IKS,NSE:IKS,Information Technology,1365.0,1901.95,1236.8,22586.9420465,451945.0,229798.142857142
IPCALAB,NSE:IPCALAB,Healthcare,1517.0,1595.0,1168.2,38788.84,191057.0,218714.238095238
JBCHEPHARM,NSE:JBCHEPHARM,Healthcare,2052.4,2114.7,1385.75,32953.06602,133432.0,333973.571428571
JKCEMENT,NSE:JKCEMENT,Construction Materials,5650.0,7565.5,4218.9,43702.92,73418.0,70745.1904761904
JBMA,NSE:JBMA,Automobile and Auto Components,551.55,790.0,489.8,6525.8204206,117472.0,480012.619047619
JKTYRE,NSE:JKTYRE,Automobile and Auto Components,500.5,611.9,243.0,13732.5121327,2101229.0,2064221.23809523
JMFINANCIL,NSE:JMFINANCIL,Financial Services,128.5,199.8,80.2,12289.276115,3248284.0,4001262.09523809
JSWCEMENT,NSE:JSWCEMENT,Construction Materials,126.2,162.15,106.65,16755.279298,10048576.0,4753697.95238095
JSWENERGY,NSE:JSWENERGY,Power,485.55,579.0,427.75,85071.6708604,1308481.0,1949969.47619047
JSWINFRA,NSE:JSWINFRA,Services,256.0,349.0,241.15,52745.9999432,1673399.0,1223935.0
JSWSTEEL,NSE:JSWSTEEL,Metals & Mining,1271.0,1284.7,905.2,310447.7237,2081751.0,1336108.23809523
JPPOWER,NSE:JPPOWER,Power,15.15,27.7,12.36,10376.6484755,111903820.0,32816532.2380952
J&KBANK,NSE:J&KBANK,Financial Services,121.5,123.6,87.3,13379.3613,24570081.0,6289845.61904761
JINDALSAW,NSE:JINDALSAW,Capital Goods,185.65,286.4,153.0,11829.160912,1817643.0,2923061.47619047
JSL,NSE:JSL,Metals & Mining,773.5,884.0,496.6,63859.14108,1703092.0,763876.142857142
JINDALSTEL,NSE:JINDALSTEL,Metals & Mining,1239.5,1272.1,770.0,126117.6376,1618136.0,1222591.66666666
JIOFIN,NSE:JIOFIN,Financial Services,254.9,338.6,198.65,162642.9393075,13283249.0,12384790.1904761
JUBLFOOD,NSE:JUBLFOOD,Consumer Services,518.0,727.95,481.1,34184.1115735,8947909.0,2477326.61904761
JUBLINGREA,NSE:JUBLINGREA,Chemicals,585.0,851.8,535.2,9250.6207518,171805.0,206440.666666666
JUBLPHARMA,NSE:JUBLPHARMA,Healthcare,865.0,1248.0,802.0,13698.97905,107109.0,157773.571428571
JWL,NSE:JWL,Capital Goods,267.3,457.0,247.15,11419.34,2023874.0,1375852.42857142
JYOTHYLAB,NSE:JYOTHYLAB,Fast Moving Consumer Goods,254.25,399.9,236.75,9307.419,441089.0,591741.714285714
JYOTICNC,NSE:JYOTICNC,Capital Goods,819.0,1330.0,750.0,18628.5386,364063.0,482117.523809523
KPRMILL,NSE:KPRMILL,Textiles,892.7,1389.0,755.5,30513.7361972,192230.0,869750.714285714
KEI,NSE:KEI,Capital Goods,5079.0,5110.0,2424.0,48568.93,394177.0,303630.571428571
KPITTECH,NSE:KPITTECH,Information Technology,771.0,1434.5,758.0,20967.0410725,2159691.0,1922686.76190476
KSB,NSE:KSB,Capital Goods,771.0,912.0,600.75,13464.5990657,2366059.0,1013487.14285714
KAJARIACER,NSE:KAJARIACER,Consumer Durables,958.2,1321.9,758.7,15261.4623984,890380.0,270079.571428571
KPIL,NSE:KPIL,Construction,1240.0,1335.6,786.3,21177.5,359166.0,198863.047619047
KALYANKJIL,NSE:KALYANKJIL,Consumer Durables,410.0,617.7,347.5,42339.142,5995568.0,9065271.95238095
KARURVYSYA,NSE:KARURVYSYA,Financial Services,326.8,343.45,154.62,31484.5747,4308225.0,3139645.71428571
KAYNES,NSE:KAYNES,Capital Goods,3845.0,7705.0,3294.9,24683.58949,1025078.0,2061642.09523809
KEC,NSE:KEC,Construction,585.3,947.0,574.55,15606.2203246999,264919.0,628097.666666666
KFINTECH,NSE:KFINTECH,Financial Services,956.7,1388.5,823.0,16436.04435,957570.0,961855.809523809
KIRLOSBROS,NSE:KIRLOSBROS,Capital Goods,1580.1,2475.0,1422.35,12568.84,80109.0,132250.476190476
KIRLOSENG,NSE:KIRLOSENG,Capital Goods,1395.0,1475.5,544.4,20265.898699,217691.0,652932.857142857
KOTAKBANK,NSE:KOTAKBANK,Financial Services,416.05,460.38,378.78,412976.9,17806739.0,15669944.7142857
KIMS,NSE:KIMS,Healthcare,745.1,798.4,474.05,29814.348462,521540.0,520419.38095238
LTF,NSE:LTF,Financial Services,280.25,329.45,132.58,71089.38,99977962.0,9397259.57142857
LTTS,NSE:LTTS,Information Technology,3514.0,4879.75,3140.0,37247.02954,323780.0,143972.047619047
